id,title,cid,category,shortName,name,path
1,"Event",1,"Event","ET","Engineer Talks","event/DSD_event_etalk.pdf"
2,"Event",1,"Event","SCA","Staff Club Activity","event/DSD_event_staffclub.pdf"
3,"Event",1,"Event","OE","Other Event","event/DSD_event_other.pdf"
4,"Organization Chart",2,"DSD Organization Chart","DSD","Drainage Services Department","ochart/OChart_DSD.pdf"
5,"Organization Chart",3,"Organization Chart for HQ Section","CAU","Contract Advisory Unit","ochart/OChart_HQ_CAU.pdf"
6,"Organization Chart",3,"Organization Chart for HQ Section","DAD","Departmental Administration Division","ochart/OChart_HQ_DAD.pdf"
7,"Organization Chart",3,"Organization Chart for HQ Section","EU","Environmental Unit","ochart/OChart_HQ_EU.pdf"
8,"Organization Chart",3,"Organization Chart for HQ Section","FSS","Finance and Supplies Section","ochart/OChart_HQ_FSS.pdf"
9,"Organization Chart",3,"Organization Chart for HQ Section","HQU","Headquarters Unit","ochart/OChart_HQ_HQU.pdf"
10,"Organization Chart",3,"Organization Chart for HQ Section","ITMU","Information Technology Management Unit","ochart/OChart_HQ_ITMU.pdf"
11,"Organization Chart",3,"Organization Chart for HQ Section","LU","Landscape Unit","ochart/OChart_HQ_LU.pdf"
12,"Organization Chart",3,"Organization Chart for HQ Section","PRU","Public Relations Unit","ochart/OChart_HQ_PRU.pdf"
13,"Organization Chart",3,"Organization Chart for HQ Section","QA","Quality Assurance","ochart/OChart_HQ_QA.pdf"
14,"Organization Chart",3,"Organization Chart for HQ Section","SAU","Safety Advisory Unit","ochart/OChart_HQ_SAU.pdf"
15,"Organization Chart",3,"Organization Chart for HQ Section","TS1","Technical Secretary 1","ochart/OChart_HQ_TS1.pdf"
16,"Organization Chart",3,"Organization Chart for HQ Section","TU","Training Unit","ochart/OChart_HQ_TU.pdf"
17,"Organization Chart",3,"Organization Chart for HQ Section","BST","BIM Support Team","ochart/OChart_HQ_BIM.pdf"
18,"Organization Chart",4,"Organization Chart for Division","HATS","Harbour Area Treatment Scheme Division","ochart/OChart_HATS.pdf"
19,"Organization Chart",4,"Organization Chart for Division","SM","System Management Division","ochart/OChart_SMD.pdf"
20,"Organization Chart",4,"Organization Chart for Division","HKI","Hong Kong & Islands Division","ochart/OChart_HKI.pdf"
21,"Organization Chart",4,"Organization Chart for Division","MS","Mainland South Division","ochart/OChart_MS.pdf"
22,"Organization Chart",4,"Organization Chart for Division","MN","Mainland North Division","ochart/OChart_MN.pdf"
23,"Organization Chart",4,"Organization Chart for Division","LD","Land Drainage Division","ochart/OChart_LD.pdf"
24,"Organization Chart",4,"Organization Chart for Division","PR","Planning & Rehabilitation Division","ochart/OChart_PRD.pdf"
25,"Organization Chart",4,"Organization Chart for Division","CM","Consultants Management Division","ochart/OChart_CM.pdf"
26,"Organization Chart",4,"Organization Chart for Division","PM","Project Management Division","ochart/OChart_PM.pdf"
27,"Organization Chart",4,"Organization Chart for Division","SD","Special Duty Division","ochart/OChart_SD.pdf"
28,"Organization Chart",4,"Organization Chart for Division","SP","Sewage Projects Division","ochart/OChart_SP.pdf"
29,"Organization Chart",4,"Organization Chart for Division","DP","Drainage Projects Division","ochart/OChart_DP.pdf"
30,"Organization Chart",4,"Organization Chart for Division","CP","Cavern Projects Division","ochart/OChart_CP.pdf"
31,"Organization Chart",4,"Organization Chart for Division","EMP","Electrical & Mechanical Projects Division","ochart/OChart_EMP.pdf"
32,"Organization Chart",4,"Organization Chart for Division","ST1","Sewage Treatment Division 1","ochart/OChart_ST1.pdf"
33,"Organization Chart",4,"Organization Chart for Division","ST2","Sewage Treatment Division 2","ochart/OChart_ST2.pdf"
34,"Vehicle Reservation",5,"Vehicle Reservation","TD","Today","vrs/VRS_today.pdf"
35,"Vehicle Reservation",5,"Vehicle Reservation","TW","Following Days in This Week","vrs/VRS_this_week.pdf"
36,"Vehicle Reservation",5,"Vehicle Reservation","NW","Next Week","vrs/VRS_next_week.pdf"
37,"Vehicle Reservation",5,"Vehicle Reservation","DI","Driver Information","vrs/VRS_car_summary.pdf"
